info,lat,lon,type,year
"Attack ID: 033-20  Date: 2020-03-11 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",6.083333333,125.2,boarded,2020
"Attack ID: 032-20  Date: 2020-03-07 00:00:00  Vessel: Offshore Supply Ship  Status: Boarded  Full report: 
 View",5.272820356,-4.031960042,boarded,2020
"Attack ID: 031-20  Date: 2020-03-05 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",5.603611111,2.343888889,boarded,2020
"Attack ID: 030-20  Date: 2020-02-27 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.184722222,103.44,boarded,2020
"Attack ID: 029-20  Date: 2020-02-19 00:00:00  Vessel: Tanker  Status: Boarded  Full report: 
 View",20.61111111,71.0525,boarded,2020
"Attack ID: 028-20  Date: 2020-03-01 00:00:00  Vessel: Bulk Carrier  Status: Attempted  Full report: 
 View",-12.01888889,-77.20083333,attempted,2020
"Attack ID: 027-20  Date: 2020-02-19 00:00:00  Vessel: LPG Tanker  Status: Boarded  Full report: 
 View",17.05138889,82.40166667,boarded,2020
"Attack ID: 026-20  Date: 2020-02-25 00:00:00  Vessel: Asphalt\/Bitumen Tanker  Status: Boarded  Full report: 
 View",18.56666667,-72.38388889,boarded,2020
"Attack ID: 025-20  Date: 2020-02-27 00:00:00  Vessel: Product Tanker  Status: Attempted  Full report: 
 View",-8.167777778,12.685,attempted,2020
"Attack ID: 024-20  Date: 2020-02-21 00:00:00  Vessel: Container  Status: Fired Upon  Full report: 
 View",2.8175,4.668055556,fired upon,2020
"Attack ID: 023-20  Date: 2020-02-20 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",5.141944444,2.103888889,boarded,2020
"Attack ID: 022-20  Date: 2020-02-18 00:00:00  Vessel: Tanker  Status: Attempted  Full report: 
 View",6.298055556,3.237777778,attempted,2020
"Attack ID: 021-20  Date: 2020-02-15 00:00:00  Vessel: Support  Status: Boarded  Full report: 
 View",-8.716666667,13.28333333,boarded,2020
"Attack ID: 020-20  Date: 2020-02-08 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.258333333,104.1616667,boarded,2020
"Attack ID: 019-20  Date: 2020-02-14 00:00:00  Vessel: Container  Status: Boarded  Full report: 
 View",1.55,5.316666667,boarded,2020
"Attack ID: 018-20  Date: 2020-01-07 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",1.272222222,104.2708333,boarded,2020
"Attack ID: 017-20  Date: 2020-02-08 00:00:00  Vessel: Tanker  Status: Boarded  Full report: 
 View",1.268611111,104.1744444,boarded,2020
"Attack ID: 016-20  Date: 2020-01-19 00:00:00  Vessel: Container  Status: Boarded  Full report: 
 View",5.141666667,2.297222222,boarded,2020
"Attack ID: 015-20  Date: 2020-02-01 00:00:00  Vessel: Tanker  Status: Boarded  Full report: 
 View",6.251944444,3.316944444,boarded,2020
"Attack ID: 014-20  Date: 2020-02-02 00:00:00  Vessel: Tug  Status: Boarded  Full report: 
 View",1.074722222,103.9105556,boarded,2020
"Attack ID: 013-20  Date: 2020-01-20 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",1.084105649,104.1457987,boarded,2020
"Attack ID: 012-20  Date: 2020-01-29 00:00:00  Vessel: Offshore Supply Ship  Status: Boarded  Full report: 
 View",4.683888889,7.151111111,boarded,2020
"Attack ID: 011-20  Date: 2020-01-28 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",-12.25,-77.18333333,boarded,2020
"Attack ID: 010-20  Date: 2020-01-19 00:00:00  Vessel: LPG Tanker  Status: Boarded  Full report: 
 View",10.31722222,-75.52805556,boarded,2020
"Attack ID: 009-20  Date: 2020-01-25 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",6.291944444,3.331388889,boarded,2020
"Attack ID: 008-20  Date: 2020-01-26 00:00:00  Vessel: Chemical Tanker  Status: Boarded  Full report: 
 View",3.946944444,98.75666667,boarded,2020
"Attack ID: 007-20  Date: 2020-01-17 00:00:00  Vessel: Tanker  Status: Attempted  Full report: 
 View",6.29345876,3.317871094,attempted,2020
"Attack ID: 006-20  Date: 2020-01-07 00:00:00  Vessel: Offshore Supply Ship  Status: Boarded  Full report: 
 View",21.40333333,72.28722222,boarded,2020
"Attack ID: 004-20  Date: 2020-01-16 00:00:00  Vessel: Fishing Vessel  Status: Boarded  Full report: 
 View",5.48681852,119.0787506,boarded,2020
"Attack ID: 003-20  Date: 2020-01-16 00:00:00  Vessel: Product Tanker  Status: Fired Upon  Full report: 
 View",3.633333333,6.67,fired upon,2020
"Attack ID: 002-20  Date: 2020-01-21 00:00:00  Vessel: Container  Status: Fired Upon  Full report: 
 View",4.1,5.748055556,fired upon,2020
"Attack ID: 001-20  Date: 2020-01-13 00:00:00  Vessel: Container  Status: Boarded  Full report: 
 View",-14.36916667,40.71527778,boarded,2020
"Attack ID: 162-19  Date:   Vessel: Tug  Status: Attempted  Full report: 
 View",1.166666667,103.9333333,attempted,2019
"Attack ID: 161-19  Date: 2019-12-30 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",3.966666667,9.083333333,boarded,2019
"Attack ID: 160-19  Date: 2019-11-28 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.27,104.2233333,boarded,2019
"Attack ID: 159-19  Date: 2019-12-13 00:00:00  Vessel: LPG Tanker  Status: Attempted  Full report: 
 View",36.76399386,3.063190524,attempted,2019
"Attack ID: 158-19  Date: 2019-12-24 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",1.15,103.4833333,boarded,2019
"Attack ID: 157-19  Date: 2019-12-22 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.265833333,104.1169444,boarded,2019
"Attack ID: 156-19  Date: 2019-12-21 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",6.251111111,3.216666667,boarded,2019
"Attack ID: 155-19  Date: 2019-12-01 00:00:00  Vessel: Bulk Carrier  Status: Attempted  Full report: 
 View",17.6025,83.35,attempted,2019
"Attack ID: 154-19  Date: 2019-12-22 00:00:00  Vessel: Crude Oil Tanker  Status: Boarded  Full report: 
 View",1.25,104.0833333,boarded,2019
"Attack ID: 153-19  Date: 2019-12-20 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.25,104.0166667,boarded,2019
"Attack ID: 152-19  Date: 2019-12-21 00:00:00  Vessel: Bulk Carrier  Status: Attempted  Full report: 
 View",0.318055556,9.385277778,attempted,2019
"Attack ID: 151-19  Date: 2019-12-10 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",-5.500833333,105.2847222,boarded,2019
"Attack ID: 150-19  Date: 2019-12-17 00:00:00  Vessel: Offshore Tug  Status: Boarded  Full report: 
 View",-4.765555556,11.78333333,boarded,2019
"Attack ID: 149-19  Date: 2019-12-15 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",4.385,2.054166667,boarded,2019
"Attack ID: 148-19  Date: 2019-11-21 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",-12.03611111,-77.21722222,boarded,2019
"Attack ID: 147-19  Date: 2019-12-07 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",-12.01885007,-77.21881154,boarded,2019
"Attack ID: 146-19  Date: 2019-12-03 00:00:00  Vessel: Crude Oil Tanker  Status: Boarded  Full report: 
 View",3.1,7.116666667,boarded,2019
"Attack ID: 143-19  Date: 2019-11-27 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.305277778,104.3463889,boarded,2019
"Attack ID: 142-19  Date: 2019-11-23 00:00:00  Vessel: Vehicle Carrier  Status: Boarded  Full report: 
 View",-12.01888889,-77.18527778,boarded,2019
"Attack ID: 141-19  Date: 2019-11-19 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",-14.38329536,40.75355835,boarded,2019
"Attack ID: 140-19  Date: 2019-10-18 00:00:00  Vessel: Crude Oil Tanker  Status: Boarded  Full report: 
 View",1.083333333,103.7,boarded,2019
"Attack ID: 139-19  Date: 2019-11-11 00:00:00  Vessel: Passenger Boat  Status: Boarded  Full report: 
 View",4.54904616,7.19707489,boarded,2019
"Attack ID: 138-19  Date: 2019-11-02 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",6.248333333,2.548333333,boarded,2019
"Attack ID: 137-19  Date: 2019-11-05 00:00:00  Vessel: Product Tanker  Status: Attempted  Full report: 
 View",1.201666667,103.5675,attempted,2019
"Attack ID: 136-19  Date: 2019-11-08 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",30.42604229,-9.647907249,boarded,2019
"Attack ID: 135-19  Date: 2019-11-07 00:00:00  Vessel: Crude Oil Tanker  Status: Fired Upon  Full report: 
 View",1.218333333,6.151666667,fired upon,2019
"Attack ID: 134-19  Date: 2019-11-04 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",5.966666667,1.25,boarded,2019
"Attack ID: 133-19  Date: 2019-11-07 00:00:00  Vessel: Product Tanker  Status: Attempted  Full report: 
 View",3.788058659,98.69405816,attempted,2019
"Attack ID: 132-19  Date: 2019-10-08 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",1.716666667,101.4341667,boarded,2019
"Attack ID: 131-12  Date: 2019-10-14 00:00:00  Vessel: Product Tanker  Status: Attempted  Full report: 
 View",3.916666667,98.8,attempted,2019
"Attack ID: 130-19  Date: 2019-10-24 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",1.05,103.6333333,boarded,2019
"Attack ID: 129-19  Date: 2019-10-20 00:00:00  Vessel: Container  Status: Boarded  Full report: 
 View",-4.753055556,11.77944444,boarded,2019
"Attack ID: 128-19  Date: 2019-10-21 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",-6.017537159,105.9357432,boarded,2019
"Attack ID: 127-19  Date: 2019-10-06 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",6.456951988,3.372019529,boarded,2019
"Attack ID: 126-19  Date: 2019-10-05 00:00:00  Vessel: Fishing Vessel  Status: Boarded  Full report: 
 View",4.351944444,6.866666667,boarded,2019
"Attack ID: 125-19  Date: 2019-10-19 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.0575,103.645,boarded,2019
"Attack ID: 124-19  Date: 2019-10-12 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",-11.985,-77.18361111,boarded,2019
"Attack ID: 123-19  Date: 2019-10-12 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",18.5525,-72.38333333,boarded,2019
"Attack ID: 122-19  Date: 2019-10-08 00:00:00  Vessel: Research Vessel  Status: Boarded  Full report: 
 View",-4.837018099,11.86523438,boarded,2019
"Attack ID: 121-19  Date: 2019-10-05 00:00:00  Vessel: LPG Tanker  Status: Boarded  Full report: 
 View",1.3,104.1166667,boarded,2019
"Attack ID: 120-19  Date: 2019-10-05 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",6.283888889,3.218888889,boarded,2019
"Attack ID: 119-19  Date: 2019-09-30 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",-12.03055556,-77.18583333,boarded,2019
"Attack ID: 118-19  Date: 2019-09-30 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.035277778,103.65,boarded,2019
"Attack ID: 117-19  Date: 2019-09-18 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",-1.109635599,116.7340279,boarded,2019
"Attack ID: 116-19  Date: 2019-09-23 00:00:00  Vessel: LPG Tanker  Status: Boarded  Full report: 
 View",17.06305556,82.43638889,boarded,2019
"Attack ID: 115-19  Date: 2019-09-25 00:00:00  Vessel: General Cargo  Status: Boarded  Full report: 
 View",1.6,104.5333333,boarded,2019
"Attack ID: 113-19  Date: 2019-09-25 00:00:00  Vessel: Crude Oil Tanker  Status: Boarded  Full report: 
 View",1.568333333,104.5169444,boarded,2019
"Attack ID: 114-19  Date: 2019-09-23 00:00:00  Vessel: Chemical Tanker  Status: Attempted  Full report: 
 View",13.76666667,120.9833333,attempted,2019
"Attack ID: 112-19  Date: 2019-09-22 00:00:00  Vessel: Container  Status: Boarded  Full report: 
 View",-2.545555556,-80.10277778,boarded,2019
"Attack ID: 111-19  Date: 2019-09-23 00:00:00  Vessel: Fishing Vessel  Status: Boarded  Full report: 
 View",5.566666667,119.1166667,boarded,2019
"Attack ID: 110-19  Date: 2019-09-23 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",6.283611111,3.233611111,boarded,2019
"Attack ID: 109-19  Date: 2019-09-16 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",9.416666667,-13.73333333,boarded,2019
"Attack ID: 108-19  Date: 2019-09-13 00:00:00  Vessel: Fishing Vessel  Status: Boarded  Full report: 
 View",4.173888889,8.927222222,boarded,2019
"Attack ID: 107-19  Date: 2019-09-12 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",4.04880137,9.686423238,boarded,2019
"Attack ID: 106-19  Date: 2019-09-08 00:00:00  Vessel: LNG Tanker  Status: Boarded  Full report: 
 View",1.568333333,104.515,boarded,2019
"Attack ID: 105-19  Date: 2019-08-27 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",5.807814983,118.0819505,boarded,2019
"Attack ID: 104-19  Date: 2019-05-15 00:00:00  Vessel: Product Tanker  Status: Boarded  Full report: 
 View",18.57381445,-72.34663904,boarded,2019
"Attack ID: 103-19  Date: 2019-08-25 00:00:00  Vessel: Crude Oil Tanker  Status: Boarded  Full report: 
 View",1.583333333,104.5333333,boarded,2019
"Attack ID: 102-19  Date: 2019-08-22 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",3.839712971,98.73938802,boarded,2019
"Attack ID: 101-19  Date: 2019-08-14 00:00:00  Vessel: Offshore Supply Ship  Status: Boarded  Full report: 
 View",4.675,7.155166667,boarded,2019
"Attack ID: 100-19  Date: 2019-08-20 00:00:00  Vessel: Tug  Status: Boarded  Full report: 
 View",1.1025,103.8841667,boarded,2019
"Attack ID: 099-19  Date: 2019-08-17 00:00:00  Vessel: LPG Tanker  Status: Boarded  Full report: 
 View",3.5875,6.6875,boarded,2019
"Attack ID: 098-19  Date: 2019-08-11 00:00:00  Vessel: Container  Status: Boarded  Full report: 
 View",10.73805556,106.77,boarded,2019
"Attack ID: 097-19  Date: 2019-08-15 00:00:00  Vessel: General Cargo  Status: Boarded  Full report: 
 View",3.866666667,9.516666667,boarded,2019
"Attack ID: 096-19  Date: 2019-08-15 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",3.866666667,9.52,boarded,2019
"Attack ID: 095-19  Date: 2019-08-14 00:00:00  Vessel: LPG Tanker  Status: Fired Upon  Full report: 
 View",4.151666667,8.368055556,fired upon,2019
